violation_text,violation_reason,law_name,article_no,penalty_guide,correction_suggestion
"남성만 지원 가능","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여성만 채용","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남자 직원 모집","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여직원 1명 채용","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남성 인재 채용","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여성 인력 우선 채용","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남성 지원자만 접수","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여성 지원자에 한해 서류 검토","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남자분만 지원 부탁드립니다","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여성분만 지원 바랍니다","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남성 채용 전형","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"여성 전용 채용 공고","공고 단계에서 특정 성만 지원 가능하다고 정하거나 특정 성만을 사실상 전제하면 다른 성의 지원 기회를 원천적으로 제한해 모집·채용의 평등기회를 침해할 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 관계없이 직무 수행 역량을 갖춘 지원자를 모집합니다."
"남성 우대","겉으로는 우대 또는 선호 표현처럼 보여도 남성 또는 여성에게만 유리한 조건을 제시하면 결과적으로 다른 성의 채용 기회를 좁혀 실질적인 성차별로 이어질 수 있다.","남녀고용평등법","제7조 제1항","500만 원 이하의 벌금","성별과 무관하게 직무 경험, 커뮤니케이션 역량, 관련 자격을 기준으로 평가합니다."
